timestamp: 2021-05-30T12:13:39Z, humidity: 33.0 %,  Temperature: 24.5 C`
timestamp: 2021-05-30T12:13:40Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:42Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:43Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:44Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:46Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:47Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:48Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:49Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:50Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:51Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:53Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:54Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:55Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:56Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:57Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:13:58Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:14:02Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:14:03Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:14:04Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:14:05Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:14:06Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:14:07Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:08Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:14:10Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:11Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:13Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:14Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:15Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:16Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:17Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:18Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:19Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:22Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:23Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:24Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:25Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:27Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:28Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:29Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:31Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:32Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:33Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:34Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:35Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:36Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:37Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:38Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:39Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:42Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:44Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:45Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:46Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:47Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:48Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:49Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:50Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:51Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:54Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:55Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:56Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:57Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:58Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:14:59Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:15:00Z, humidity: 31.0 %,  Temperature: 25.0 C`
